cordinates,name
"24.836463,36.08772 24.834963,36.08772",N Derwen St 6500 6598
"24.835363,36.08562 24.834963,36.08772",N Medel St 4600 4798
"24.836363,36.08922 24.836349,36.08984",N Kakavaki St
"24.837163,36.08922 24.836363,36.08922",N Desafio St 6400 6498
"24.837163,36.08922 24.837163,36.08882",N Joya Rd 4800 4848
"24.837563,36.08922 24.837163,36.08922",N Desafio St 6350 6398
"24.835963,36.08812 24.835763,36.08872",N Kakavaki St 4800 4850
"24.837163,36.08882 24.835963,36.08812",N Joya Rd 4850 6398
"24.839176,36.088751 24.837163,36.08882",N Kiou St 6300 6398
"24.836463,36.08672 24.836463,36.08772",N Kakavaki St 4650 4698
"24.837263,36.08752 24.836463,36.08772",N Derwen St 6400 6498
"24.83465,36.085069 24.834696,36.085824",
"24.834696,36.085824 24.835363,36.08562",Grammou
"24.835863,36.08562 24.835363,36.08562",
"24.836463,36.08562 24.836463,36.08672",N Kakavaki St 4600 4648
"24.835663,36.08462 24.835863,36.08562",N Medel St 4500 4598
"24.836463,36.08562 24.835863,36.08562",N Delfon St 6500 6614
"24.836463,36.08462 24.835663,36.08462",N Darluniau St 6500 6598
"24.835763,36.08282 24.835663,36.08462",N Medel St 4300 4498
"24.836463,36.08462 24.836463,36.08562",N Kakavaki St 4500 4598
"24.838263,36.08562 24.836463,36.08562",N Delfon St 6400 6498
"24.836463,36.08272 24.836463,36.08462",N Kakavaki St 4300 4498
"24.837563,36.08462 24.836463,36.08462",N Darluniau St 6400 6498
"24.836463,36.08272 24.835763,36.08282",N Carretera St 6500 6598
"24.836563,36.08192 24.836463,36.08272",N Kakavaki St 4150 4298
"24.836363,36.08002 24.836563,36.08192",N Kakavaki St 4000 4148
"24.837563,36.08192 24.836563,36.08192",N Carnero St 6400 6498
"24.837463,36.08002 24.836363,36.08002",N Camino St 6400 6498
"24.824063,36.06182 24.824163,36.06352",N Kiprou St 2000 2206
"24.825963,36.06352 24.824163,36.06352",N Anrop St 7308 7398
"24.824163,36.06032 24.824063,36.06182",N Kiprou St 1700 1998
"24.824163,36.06032",N Opalante Dr 1500 1698
"24.824263,36.05852 24.824163,36.06032",N Kiprou St 1500 1698
"24.825663,36.06022 24.824163,36.06032",N Alfiou St 7300 7398
"24.824263,36.05852",N Alamanas St 7400 7498
"24.824363,36.05662 24.824263,36.05852",N Kiprou St 1300 1498
"24.825663,36.05852 24.824263,36.05852",N Alamanas St 7300 7398
"24.824363,36.05662",N Agiasou St 7400 7498
"24.824363,36.05482 24.824363,36.05662",Kiprou St 1100 1298
"24.825663,36.05482 24.824363,36.05482",N Achilleos St 7300 7398
"24.825463,36.06502 24.826263,36.06622",N Undeg Dr 2490 2638
"24.826263,36.06622 24.826463,36.06672",N Undeg Dr 2640 2698
"24.827363,36.06672 24.826463,36.06672",N Arkadou St 7200 7298
"24.826263,36.06622 24.826426,36.066278",
"24.826163,36.06522 24.825463,36.06502",N Arbete St 7200 7298
"24.827363,36.06672 24.827341,36.066705",Karaiskaki St
"24.827341,36.066705 24.827363,36.06352",Karaiskaki St 2599 2301
"24.828944,36.068391 24.828303,36.069139",N Owena Pl 2958 3014
"24.828944,36.068391 24.82812,36.067819",N Gata Ln 6999 6901
"24.829981,36.068162 24.828944,36.068391",N Owena Pl 2912 2956
"24.828263,36.06482 24.828663,36.06592 24.828863,36.06682",N Gawenoliau Dr 2500 2698
"24.829263,36.06692 24.828863,36.06682",N Arkadou St 7000 7098
"24.829263,36.06642 24.829263,36.06692",Ious Cir 2600 2698
"24.829539,36.067727 24.829981,36.068162",N Oveja Ln 6900 6998
"24.835363,36.07562 24.834863,36.07552",N Narkissou St 6500 6598
"24.834863,36.07552 24.833463,36.07532",N Narkissou St 6600 6698
"24.831063,36.06672 24.831156,36.067231",N Owena Pl 2800 2830
"24.833216,36.067201 24.831156,36.067231",N Artakis St 6700 6898
"24.836329,36.067063 24.83639,36.068826",N Opalante Dr 2800 2998
"24.836253,36.066896 24.836329,36.067063",N Opalante Dr
"24.836253,36.066896 24.839263,36.06602",N Arkadiou St 6499 6301
"24.824163,36.06352 24.824663,36.06442",N Kiprou St 2208 2398
"24.825724,36.064645 24.825463,36.06502",N Undeg Dr 2442 2488
"24.825363,36.06262 24.824963,36.06282",N Kanari Cir 2000 2098
"24.824063,36.06182 24.825363,36.06262",N Karaiskaki St 2000 2248
"24.825724,36.064645 24.826044,36.064744",
"24.826563,36.06362 24.825963,36.06352",N Anrop St 7214 7306
"24.825363,36.06262 24.826563,36.06362",N Karaiskaki St 2250 2398
"24.827363,36.06352 24.826563,36.06362",N Anrop St 7200 7212
"24.827763,36.06352 24.827363,36.06352",N Anrop St 7100 7198
"24.824163,36.06032 24.827263,36.06292",N Opalante Dr 1700 2248
"24.828263,36.06162 24.827263,36.06292",N Gawenoliau Dr 1742 1782
"24.825663,36.05852 24.825663,36.06022",Lonn St 1500 1698
"24.826963,36.05912 24.826363,36.05962",Korai Cir 1300 1398
"24.828863,36.06462 24.828263,36.06482",N Antoniadou St 7050 7098
"24.827763,36.06352 24.828863,36.06462",N Opalante Dr 2300 2398
"24.830363,36.06422 24.828863,36.06462",N Antoniadou St 7000 7048
"24.827263,36.06292 24.827763,36.06352",N Opalante Dr 2250 2298
"24.831163,36.06412 24.830363,36.06422",N Antoniadou St 6900 6998
"24.830063,36.06082 24.829663,36.06322 24.830363,36.06422",Seranti Dr 1702 2398
"24.825663,36.06022 24.828263,36.06162",N Lonn St 1700 1798
"24.828363,36.06032 24.828263,36.06162",N Gawenoliau Dr 1700 1740
"24.828363,36.06032 24.825663,36.06022",N Alfiou St 7100 7298
"24.828263,36.05912 24.828363,36.06032",Gawenoliau Dr 1600 1698
"24.830163,36.06032 24.828363,36.06032",N Alfiou St 7000 7098
"24.826963,36.05912 24.828263,36.05912",Kozanis  1364 1398
"24.827563,36.05702 24.828263,36.05912",N Gawenoliau Dr 1300 1598
"24.828963,36.05742 24.828263,36.05912",Korbana  1300 1398
"24.830763,36.06122 24.830063,36.06082",N Alm St 6900 6998
"24.832163,36.06122 24.830763,36.06122",N Alm St 6800 6898
"24.830163,36.06032 24.830063,36.06082",Seranti Dr
"24.832063,36.06032 24.830163,36.06032",N Alfiou St 6900 6998
"24.825663,36.05672 24.825663,36.05852",Lonn St 1300 1498
"24.825663,36.05672 24.824363,36.05662",N Agiasou St 7300 7398
"24.826663,36.05662 24.825663,36.05672",N Agiasou St 7200 7298
"24.825663,36.05482 24.825663,36.05672",Lonn St 1140 1298
"24.826863,36.05722 24.826363,36.05762 24.826963,36.05912",Kozanis  1300 1362
"24.826663,36.05662 24.826863,36.05722",Kozanis  1154 1298
"24.827563,36.05702 24.826863,36.05722",N Agiasou St 7100 7198
"24.826663,36.05552 24.826663,36.05662",Kozanis  900 1152
"24.827763,36.05532 24.827563,36.05702",Gawenoliau Dr 1100 1298
"24.825763,36.05302 24.825756,36.053151",N Lonn St 900 912
"24.825763,36.05302 24.825413,36.053166",Sfaktirias Ln 7322 7328
"24.827738,36.051583 24.826777,36.05198 24.826579,36.052041 24.826319,36.051988 24.82635,36.051934",N Sialens Pl 7301 7307
"24.827738,36.051583 24.827738,36.052201 24.827677,36.052438 24.827479,36.052644 24.82696,36.05288 24.826579,36.052575 24.825763,36.05302",Sfaktirias Ln 900 928
"24.826663,36.05552 24.826441,36.054933",
"24.82606,36.054833 24.826441,36.054933",
"24.826441,36.054933 24.827036,36.054933",
"24.828963,36.05742 24.827563,36.05702",N Agiasou St 7006 7098
"24.829663,36.05722 24.828963,36.05742",N Agiasou St 7000 7004
"24.828863,36.05522 24.829663,36.05722",Seranti Dr 1100 1298
"24.830863,36.05682 24.829663,36.05722",N Agiasou St 6900 6998
"24.829663,36.05722 24.830163,36.05782 24.830163,36.06032",Seranti Dr 1300 1698
"24.828863,36.05522 24.827763,36.05532",N Achilleos St 7000 7098
"24.830163,36.05522 24.828863,36.05522",N Achilleos St 6858 6998
"24.830163,36.05292 24.828763,36.05292",N Ermou St 7000 7098
"24.828654,36.051591 24.828763,36.05292",N Seranti Dr 630 698
"24.831863,36.05522 24.830163,36.05522",N Achilleos St 6848 6856
"24.830163,36.05042 24.830163,36.05292",N Lefkados St 600 898
"24.831163,36.06412 24.831163,36.06482 24.833063,36.06522",N Mavromichali Dr 2400 2498
"24.832263,36.06432 24.831163,36.06412",N Antoniadou St 6800 6898
"24.833663,36.06422 24.832263,36.06432",N Antoniadou St 6700 6798
"24.830763,36.06122 24.830863,36.06312 24.831163,36.06412",N Mavromichali Dr 1800 2398
"24.832163,36.06122 24.832363,36.06352 24.832263,36.06432",N Komminon Dr 1800 2398
"24.833663,36.06342 24.833663,36.06422",N Obil St 2130 2398
"24.833663,36.06032 24.833663,36.06342",N Obil St 1700 2128
"24.834963,36.06342 24.833663,36.06342",N Anrop St 6600 6698
"24.830863,36.05682 24.831963,36.05972",Mavromichali Dr 1300 1374
"24.831963,36.05972 24.832063,36.06032",Mavromichali Dr 1376 1698
"24.833663,36.06032 24.832063,36.06032",N Alfiou St 6700 6898
"24.832963,36.05662 24.832663,36.05962 24.831963,36.05972",N Konitsis St 1300 1398
"24.834963,36.06052 24.834963,36.06342",N Medel St 1700 2298
"24.836263,36.06352 24.834963,36.06342",N Anrop St 6500 6598
"24.836363,36.06072 24.836263,36.06352",N Kakavaki St 1700 2298
"24.837563,36.06352 24.836263,36.06352",N Anrop St 6400 6498
"24.834963,36.06052 24.833663,36.06032",N Velestinou Blvd 6600 6698
"24.835463,36.06062 24.834963,36.06052",N Velestinou Blvd 6576 6598
"24.835663,36.05982 24.835463,36.06062",N Lakendra Pky 1650 1698
"24.834563,36.05722 24.834063,36.05922 24.835663,36.05982",Filota Rd 1300 1398
"24.836363,36.06072 24.835463,36.06062",N Velestinou Blvd 6500 6574
"24.835963,36.05952 24.835663,36.05982",N Lakendra Pky 1600 1648
"24.838163,36.05982 24.837063,36.05982 24.835963,36.05952",N Filippou Pl 6300 6398
"24.830163,36.05522 24.830863,36.05682",Mavromichali Dr 1100 1298
"24.831763,36.05652 24.830863,36.05682",N Agiasou St 6822 6898
"24.831863,36.05522 24.831763,36.05652",Rambla Ln 1100 1298
"24.832963,36.05662 24.831763,36.05652",N Agiasou St 6800 6820
"24.832963,36.05522 24.832963,36.05662",N Konitsis St 1100 1298
"24.832963,36.05522 24.831863,36.05522",N Achilleos St 6810 6846
"24.831663,36.05302 24.830163,36.05292",N Ermou St 6900 6998
"24.832963,36.05302 24.831663,36.05302",N Ermou St
"24.831463,36.05042 24.831663,36.05302",N Ptotagora St 600 898
"24.833763,36.05472 24.833541,36.054859",N Achilleos St
"24.833763,36.05302 24.832963,36.05302",N Ermou St 6700 6798
"24.832964,36.05042 24.832963,36.05302",N Konitsis St 600 698
"24.833964,36.05032 24.833763,36.05302",N Obil St 600 898
"24.844036,36.052201 24.843464,36.052209 24.843213,36.052226 24.842761,36.052328 24.842585,36.052447 24.842259,36.052515 24.833763,36.05302",N Ermou St 5900 6698
"24.834589,36.054009 24.834467,36.055505 24.834467,36.055772 24.834666,36.055894 24.834788,36.056001 24.835108,36.056039 24.835505,36.055993",Padarn St 901 999
"24.836086,36.054811 24.835764,36.055383 24.835566,36.055512 24.835505,36.055589 24.835429,36.055779 24.835505,36.055993",Kakavaki St 1000 1198
"24.837163,36.05752 24.835863,36.05772 24.835263,36.05842",Gkonas Ln 6500 6598
"24.837163,36.05752 24.836863,36.057923",N Lakendra Pky 1300 1306
"24.835505,36.055993 24.835886,36.056039 24.836207,36.056092",Padarn St 1001 1099
"24.836086,36.054811 24.836727,36.055146 24.836727,36.055291 24.836605,36.055459 24.836406,36.055589 24.836207,36.056092",Wenna St 1000 1148
"24.837566,36.054406 24.837047,36.054215 24.836788,36.054223 24.836345,36.054223 24.836086,36.054811",Kakavaki St 900 998
"24.825963,36.05042",Egeou Ave 7300 7498
"24.824963,36.04842",S Els St 7400 7498
"24.824091,36.047753",
"24.824063,36.04602",S Viannou Dr 1000 1098
"24.825963,36.05042 24.825863,36.05092",N Noost St 600 698
"24.827461,36.050435 24.825963,36.05042",Egeou Ave 7200 7298
"24.825963,36.05042 24.826063,36.04842",S Noost St 601 799
"24.827738,36.051583 24.827296,36.051461 24.826899,36.051507 24.82635,36.051805",Sialens Pl
"24.827461,36.050435 24.827463,36.04842",S Mewnol St 601 799
"24.824963,36.04842 24.824963,36.04662",S Kassou St 801 999
"24.826063,36.04842 24.824963,36.04842",S Els St 7300 7398
"24.824963,36.04662 24.824563,36.04662",S Acera St 7400 7450
"24.826163,36.04662 24.824963,36.04662",S Acera St 7300 7398
"24.824963,36.04662",S Kassou St 1001 1199
"24.827463,36.04842 24.826063,36.04842",S Els St 7200 7298
"24.826063,36.04842 24.826163,36.04662",S Noost St 801 999
"24.827463,36.04842 24.827463,36.04662",S Mewnol St 801 999
"24.828863,36.04842 24.827463,36.04842",S Els St 7100 7198
"24.827463,36.04662 24.826163,36.04662",S Acera St 7200 7298
"24.826163,36.04662",S Noost St 1001 1199
"24.828963,36.04662 24.827463,36.04662",S Acera St 7100 7198
"24.827463,36.04662",S Mewnol St 1001 1199
"24.828654,36.051591 24.827738,36.051583",N Elefsinos Ave
"24.828763,36.05062 24.828654,36.051591",N Seranti Dr 620 628
"24.828805,36.050428 24.828763,36.05062",N Seranti Dr 600 618
"24.828805,36.050428 24.828863,36.04842",S Parlante St 601 799
"24.830163,36.05042 24.828805,36.050428",Egeou Ave 7000 7098
"24.830163,36.05042 24.830263,36.04842",S Lefkados St 601 799
"24.831463,36.05042 24.830163,36.05042",Egeou Ave 6900 6998
"24.828863,36.04842 24.828963,36.04662",S Parlante St 801 999
"24.830263,36.04842 24.828863,36.04842",S Els St 7000 7098
"24.828963,36.04662",S Parlante St 1001 1199
"24.830263,36.04842 24.830264,36.04672",S Lefkados St 801 999
"24.831664,36.04842 24.830263,36.04842",S Els St 6900 6998
"24.830264,36.04672 24.828963,36.04662",S Acera St 7000 7098
"24.830264,36.04672",S Lefkados St 1001 1199
"24.831664,36.04662 24.830264,36.04672",S Acera St 6900 6998
"24.832964,36.05042 24.831463,36.05042",Egeou Ave 6800 6898
"24.831463,36.05042 24.831664,36.04842",S Ptotagora St 601 799
"24.833964,36.05032 24.832964,36.05042",Egeou Ave 6700 6798
"24.832964,36.05042 24.832964,36.04842",S Konitsis St 601 799
"24.833964,36.05032 24.833864,36.04842",S Obil St 601 645
"24.844264,36.05032 24.833964,36.05032",Egeou Ave 5900 6698
"24.831664,36.04842 24.831664,36.04662",S Ptotagora St 801 999
"24.832964,36.04842 24.831664,36.04842",S Els St 6800 6898
"24.832964,36.04662 24.831664,36.04662",S Acera St 6800 6898
"24.831664,36.04662",S Ptotagora St 1001 1199
"24.833864,36.04842 24.832964,36.04842",S Els St 6700 6798
"24.832964,36.04842 24.832964,36.04662",S Konitsis St 801 999
"24.833864,36.04842 24.833964,36.04662",S Obil St 647 999
"24.837364,36.04842 24.833864,36.04842",S Els St 6300 6698
"24.833964,36.04662 24.832964,36.04662",S Acera St 6700 6798
"24.837764,36.04662 24.833964,36.04662",S Acera St 6400 6698
"24.835964,36.045075 24.835903,36.045503 24.835887,36.045686 24.835826,36.045823 24.835567,36.046174",
"24.835964,36.045075 24.835048,36.045068",
"24.837495,36.09031 24.837463,36.09082",N Wenna St 4936 4948
"24.836463,36.09282 24.837504,36.09298",N Distomou St 6499 6461
"24.837504,36.09298 24.839163,36.09282",N Distomou St 6459 6401
"24.837463,36.09112 24.836363,36.09102",N Diogenous St 6400 6498
"24.837463,36.09082 24.837463,36.09112",N Wenna St 4950 4998
"24.839163,36.09082 24.838827,36.09082",N Diogenous St 6302 6350
"24.837563,36.08922 24.837495,36.09031",N Wenna St 4900 4934
"24.839163,36.09282 24.839163,36.09332",N Thermopilon St 5100 5198
"24.839163,36.09132 24.839163,36.09282",N Thermopilon St 5000 5098
"24.840463,36.09282 24.839163,36.09282",N Distomou St 6200 6298
"24.839163,36.09132 24.837463,36.09112",N Diogenous St 6222 6298
"24.839163,36.09082 24.839163,36.090977",N Thermopilon St
"24.840363,36.09132 24.840044,36.09132",N Diogenous St 6200 6202
"24.840363,36.09082 24.839163,36.09082",N Diogenous St
"24.839163,36.08922 24.839163,36.09082",N Thermopilon St 4900 4942
"24.840463,36.09102 24.840363,36.09132",N Gerantoni St 4972 4998
"24.840463,36.08912 24.840363,36.09082",N Gerantoni St 4900 4940
"24.840463,36.09432",N Gerantoni St 5300 5398
"24.840463,36.09432 24.839163,36.09332",N Peque Way 6200 6298
"24.841763,36.09482 24.840463,36.09432",N Peque Way 6100 6198
"24.841763,36.09282 24.841763,36.09482",N Ionnanon St 5100 5298
"24.841763,36.09482",N Ionnanon St 5300 5348
"24.841763,36.09482",N Peque Way 6000 6098
"24.843063,36.09282",N Tzavella St 5100 5298
"24.840363,36.09132 24.840373,36.091464",N Gerantoni St 5000 5004
"24.841763,36.09282 24.840463,36.09282",N Distomou St 6100 6198
"24.841663,36.09092 24.841711,36.091833",N Ionnanon St 5000 5018
"24.843063,36.09282 24.841763,36.09282",N Distomou St 6000 6098
"24.840363,36.09082 24.840463,36.09102",N Gerantoni St 4942 4970
"24.841663,36.09092 24.840463,36.09102",N Diogenous St 6100 6198
"24.843063,36.09092 24.841663,36.09092",N Diogenous St 6000 6098
"24.841663,36.08912 24.841663,36.09092",N Ionnanon St 4900 4998
"24.843063,36.09092 24.843063,36.092166",N Tzavella St 5000 5030
"24.844463,36.09282 24.843063,36.09282",N Distomou St 5900 5998
"24.843063,36.08912 24.843063,36.09092",N Tzavella St 4900 4998
"24.844463,36.09402",N Pilau St 5200 5298
"24.845763,36.09402 24.844463,36.09402",N Dodonis St 5800 5898
"24.844463,36.09282 24.844463,36.09402",N Pilau St 5100 5198
"24.845763,36.09402",N Leeno St 5200 5298
"24.845721,36.092837 24.845763,36.09402",N Leeno St 5100 5198
"24.847103,36.094016 24.845763,36.09402",N Dodonis St 5600 5798
"24.845463,36.090173 24.845463,36.09092",N Leeno St 4976 4998
"24.845721,36.092837 24.844463,36.09282",N Distomou St 5800 5898
"24.844486,36.090919 24.844447,36.092324",N Pilau St 5000 5026
"24.844486,36.090919 24.843063,36.09092",N Diogenous St 5900 5998
"24.845463,36.09092 24.844486,36.090919",N Diogenous St 5800 5898
"24.844447,36.090163 24.844486,36.090919",N Pilau St 4916 4998
"24.845681,36.090919 24.845741,36.092391",N Leeno St 5000 5036
"24.847063,36.09282 24.845721,36.092837",N Distomou St 5600 5798
"24.845681,36.090919 24.845463,36.09092",N Diogenous St 5682 5798
"24.846263,36.09092 24.845681,36.090919",N Diogenous St 5656 5680
"24.846963,36.09092 24.846263,36.09092",N Diogenous St 5600 5654
"24.846363,36.09032 24.846263,36.09092",N Yinn Pl 4900 4998
"24.847103,36.094016",N Yonille St 5200 5298
"24.848463,36.09402 24.847103,36.094016",N Dodonis St 5500 5598
"24.847063,36.09282 24.847103,36.094016",N Yonille St 5100 5198
"24.848463,36.09402",N Scarkeme St 5200 5298
"24.849863,36.09402 24.848463,36.09402",N Dodonis St 5400 5498
"24.84843,36.092985 24.848463,36.09402",N Scarkeme St 5100 5198
"24.849863,36.09402",N Finiatur St 5200 5298
"24.849824,36.092985 24.849863,36.09402",N Finiatur St 5100 5198
"24.851836,36.093863 24.849863,36.09402",N Dodonis St 5300 5398
"24.846963,36.09142 24.847035,36.09243",N Yonille St 5050 5082
"24.849824,36.092985 24.84843,36.092985",N Distomou St 5400 5498
"24.846963,36.09092 24.846963,36.09142",N Yonille St 5000 5048
"24.849963,36.09142 24.846963,36.09142",N Helice St 5420 5598
"24.846936,36.090123 24.846963,36.09092",N Yonille St 4944 4998
"24.839163,36.08922 24.837563,36.08922",N Desafio St 6300 6348
"24.839176,36.088751 24.839163,36.08922",N Thermopilon St 4830 4898
"24.840463,36.08912 24.839163,36.08922",N Desafio St 6200 6298
"24.839163,36.08782 24.839176,36.088751",N Thermopilon St 4800 4828
"24.840363,36.08782 24.839163,36.08782",N Derwen St 6200 6298
"24.839063,36.08562 24.839163,36.08782",N Thermopilon St 4600 4798
"24.840363,36.08562 24.840363,36.08782",N Gerantoni St 4600 4798
"24.841663,36.08782 24.840363,36.08782",N Derwen St 6100 6198
"24.838263,36.08562 24.838263,36.08672 24.837263,36.08672",N Inuti Dr 4600 4640
"24.839063,36.08462 24.837563,36.08462",N Darluniau St 6300 6398
"24.837563,36.08192 24.837563,36.08462",N Wenna St 4200 4498
"24.839063,36.08562 24.838263,36.08562",N Delfon St 6300 6398
"24.839063,36.08462 24.839063,36.08562",N Thermopilon St 4500 4598
"24.840363,36.08562 24.839063,36.08562",N Delfon St 6200 6298
"24.840363,36.08462 24.839063,36.08462",N Darluniau St 6200 6298
"24.839063,36.08192 24.839063,36.08462",N Thermopilon St 4200 4498
"24.840363,36.08462 24.840363,36.08562",N Gerantoni St 4500 4598
"24.841563,36.08562 24.841463,36.08562",N Delfon St 6100 6106
"24.841463,36.08462 24.840363,36.08462",N Darluniau St 5916 6198
"24.840263,36.08192 24.840363,36.08462",N Gerantoni St 4200 4498
"24.840363,36.08782 24.840463,36.08912",N Gerantoni St 4800 4898
"24.841663,36.08912 24.840463,36.08912",N Desafio St 6100 6198
"24.841663,36.08782 24.841663,36.08912",N Ionnanon St 4800 4898
"24.843063,36.08912 24.841663,36.08912",N Desafio St 6000 6098
"24.843063,36.08782 24.841663,36.08782",N Derwen St 6000 6098
"24.841563,36.08562 24.841663,36.08782",N Ionnanon St 4600 4798
"24.843063,36.08782 24.843063,36.08912",N Tzavella St 4800 4898
"24.844486,36.089002 24.843063,36.08912",N Desafio St 5900 5998
"24.843064,36.085551 24.843063,36.08782",N Tzavella St 4600 4798
"24.844463,36.08782 24.843063,36.08782",N Derwen St 5900 5998
"24.843064,36.085551 24.841563,36.08562",N Delfon St 6000 6098
"24.841463,36.08462 24.841463,36.08492",N Ionnanon St 4500 4548
"24.843063,36.08462 24.841463,36.08462",N Darluniau St
"24.843063,36.08462 24.843064,36.085551",N Tzavella St 4500 4598
"24.844363,36.08462 24.843063,36.08462",N Darluniau St 5900 5914
"24.839063,36.08192 24.837563,36.08192",N Carnero St 6300 6398
"24.837463,36.08002 24.837563,36.08192",N Wenna St 4000 4198
"24.840263,36.08192 24.839063,36.08192",N Carnero St 6200 6298
"24.838984,36.079453 24.839063,36.08192",N Thermopilon St 3900 4198
"24.841761,36.081869 24.840263,36.08192",N Carnero St 6100 6198
"24.840144,36.080728 24.840205,36.081399",N Havet Dr 4000 4098
"24.837563,36.07702 24.837463,36.08002",N Wenna St 3700 3998
"24.840144,36.079942 24.840144,36.080728",N Havet Dr 3940 3998
"24.840144,36.079415 24.840144,36.079942",N Havet Dr 3900 3938
"24.841319,36.079934 24.840144,36.079942",N Brada St 6100 6198
"24.838984,36.079453 24.840144,36.079415",N Brada St 6299 6215
"24.839091,36.077012 24.838984,36.079453",N Thermopilon St 3700 3898
"24.841761,36.08143 24.841761,36.081869",Ionnanon St
"24.840205,36.081399 24.841761,36.08143",N Carden St 6135 6101
"24.841319,36.079515 24.841319,36.079934",
"24.840144,36.080728 24.842478,36.080766 24.842629,36.080767",N Camino St 6199 6103
"24.842677,36.079057 24.84286,36.079186",
"24.843714,36.078851 24.84286,36.079186",N Ionnanon St 3900 3934
"24.844463,36.08952 24.844447,36.090163",N Pilau St 4908 4914
"24.844486,36.089002 24.844463,36.08952",N Pilau St 4900 4906
"24.846905,36.089517 24.845463,36.08952",N Desafio St 5600 5622
"24.844463,36.08862 24.844486,36.089002",N Pilau St 4850 4898
"24.844463,36.08782 24.844463,36.08862",N Pilau St 4800 4848
"24.846063,36.08862 24.844463,36.08862",N Rees St 5700 5898
"24.846063,36.08782 24.844463,36.08782",N Derwen St 5700 5898
"24.844473,36.087127 24.844463,36.08782",N Pilau St 4732 4798
"24.846063,36.08782 24.846063,36.08862",N Leeno St 4800 4848
"24.847763,36.08772 24.846063,36.08782",N Derwen St 5600 5698
"24.844463,36.08632 24.844473,36.087127",N Pilau St 4666 4730
"24.844463,36.08552 24.844463,36.08632",N Pilau St 4600 4664
"24.845963,36.08462 24.844363,36.08462",N Darluniau St 5700 5898
"24.844463,36.08372 24.844363,36.08462",N Pilau St 4400 4498
"24.844463,36.08552 24.843064,36.085551",N Delfon St 5900 5998
"24.844363,36.08462 24.844463,36.08552",N Pilau St 4500 4598
"24.845963,36.08552 24.844463,36.08552",N Delfon St 5700 5898
"24.845934,36.086329 24.845963,36.08712",N Leeno St 4700 4714
"24.845934,36.086329 24.844463,36.08632",N Dentro St 5700 5898
"24.845963,36.08552 24.845934,36.086329",N Leeno St 4600 4698
"24.847863,36.086334 24.845934,36.086329",N Dentro St 5600 5698
